id,x,y,color,layer
1,1.474439470664364e-16,-2.363645897752477e-16,blue,2
2,0.60639079547056,1.0503408703229193,blue,2
3,-0.6064264785974249,1.0503202686600182,blue,2
4,-1.2128172740679848,-2.060166290100176e-5,blue,2
5,-0.6063907954705599,-1.0503408703229193,blue,2
6,0.6064264785974254,-1.0503202686600184,blue,2
7,1.212817274067985,2.0601662901202536e-5,blue,2
8,1.983999526688302,1.1455075965005455,blue,2
9,1.2316919972587346,2.1334368101128645,blue,2
10,-3.8915453375605595e-5,2.290947789458644,blue,2
11,-1.2317644762972109,2.1333949643204897,blue,2
12,-1.9840384421416777,1.145440192958099,blue,2
13,-2.4634564735559454,-4.1845792374953164e-5,blue,2
14,-1.983999526688302,-1.145507596500545,blue,2
15,-1.231691997258735,-2.1334368101128645,blue,2
16,3.891545337535714e-5,-2.290947789458644,blue,2
17,1.2317644762972106,-2.1333949643204897,blue,2
18,1.9840384421416777,-1.1454401929580993,blue,2
19,2.463456473555946,4.184579237500269e-5,blue,2
